"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0.6,11.6999998093,2.5,119,6,0,11,0,14.3999996185
9,9.8,0.4,15,6,0,3,0,9.9
1.6,7.6,2.7,98,3,1,4,0,9.8
0,25.2,3.8,3,2,1,2,0,25.6
0.2,35.2000007629,4.6999998093,22,1,1,14,0,93.4000015259
0.6,12.9,4.2,6,5,1,2,0,11.4
0.2,12.3000001907,1.7000000477,32,4,1,5,1,19.7999992371
0,17.9,1.3,124,2,1,1,0,8.2
0,34.5999984741,4.1999998093,21,6,0,12,0,16.1000003815
0.2,15.6,2.6,138,4,1,11,0,19.2
0.2,15.2,3.5,9,6,0,10,0,27.6
0,20.7000007629,0.6000000238,76,7,0,10,0,26.3999996185
0,22.2,6.4,13,5,1,9,0,22.1
35.8,9.5,3.4000000954,26,3,1,22,0,2.0999999046
7.4,16.9,7.2,3,1,1,10,0,113.1
0,19.3,3.6,27,1,1,7,1,39.7
0,21.2,6.5,89,3,1,8,1,245.6
0,12.3000001907,1.2999999523,47,2,1,0,0,17.6000003815
2.2,12.1000003815,3.5,6,1,1,3,0,4.0999999046
0,25.8999996185,3.4000000954,2,7,0,9,0,21.2999992371
0,13.3,1.2,99,2,1,6,1,20.3
7.4,14.1000003815,3.2999999523,25,1,1,23,0,11.1999998093
0,18.2999992371,1.3999999762,135,2,1,7,1,22.7999992371
24,24.2000007629,4.1999998093,172,5,1,13,0,32.2999992371
0,21.6000003815,2.7000000477,117,7,0,11,0,4.1999998093
41,16.4,3.6,153,3,1,21,0,7.4
1,13.1000003815,0.8000000119,78,5,1,21,0,20.2999992371
0.6,9.2,0.7,152,4,1,16,1,43.5
1.2,16.5,5,115,2,1,13,0,11.8
3,15.1999998093,3.4000000954,81,4,1,16,1,14.6999998093
0.4,13.1000003815,1.7999999523,159,4,1,0,0,6.6999998093
0.2,14.7,1.6,106,7,0,6,1,14.1
5.4,3.7,0.6,26,5,1,6,1,72.6
0,3.2999999523,0.8999999762,45,3,1,4,0,22.2000007629
0.4,18.8999996185,3.7999999523,167,1,1,15,1,19.2000007629
0,20.9,2.5,159,4,1,11,0,22.8
0,24.1,5.8,147,1,1,13,0,23.7
21.2,11.1,6.2,162,7,0,12,0,24.1
0.4,10.5,2.8,169,7,0,18,0,11.4
13.4,12.7,1.4,133,7,0,13,0,7.4
0,17.2000007629,4.6999998093,177,4,1,12,0,24.8999996185
0,17.2000007629,2.5,142,6,0,11,0,16.3999996185
0.4,12.5,1.2999999523,17,2,1,17,0,31.7999992371
2,9.2,3,103,1,1,0,0,9.1
0.4,42.2999992371,5,47,3,1,15,1,105.8000030518
0.2,8.3999996185,1.2999999523,64,4,1,19,0,33.0999984741
0,15.1,4.2,171,4,1,18,0,20.4
4,14.8000001907,4,174,6,0,19,0,10.8000001907
11.2,10,3.7000000477,162,2,1,6,1,19.3999996185
0.2,14,1.9,101,7,0,12,0,3.7
7.2,13.4,1.1,3,5,1,11,0,16.1
0,18.9,1.2,178,3,1,23,0,14.1
6.8,9.6000003815,2.5,100,5,1,7,1,18.5
0.8,4.2,1.7,43,5,1,5,1,26.7
0,15.6999998093,2.2999999523,96,3,1,8,1,47.0999984741
0,17.5,0.8999999762,109,5,1,0,0,15.6000003815
3.2,16.7000007629,3.7000000477,169,5,1,20,0,16
0,19.4,5.4,179,3,1,13,0,31.5
2.2,15.8000001907,4.3000001907,4,5,1,5,1,24.5
12.2,8.1000003815,1,14,6,0,19,0,38.7999992371
0.8,9.3,1,59,2,1,22,0,23.2
13.4,12.8,3.9,83,7,0,22,0,0
0,14.3999996185,1.2999999523,96,5,1,4,0,13.1999998093
0,14.9,1.7,98,5,1,23,0,7.4
1.4,18.1000003815,4.5999999046,176,4,1,0,0,16.6000003815
0,21.2000007629,3.7000000477,162,1,1,13,0,24.2000007629
1.6,29.5,2.6,4,1,1,18,0,23
0,23.7999992371,4.0999999046,159,6,0,19,0,33.2000007629
4.6,18.7,0.5,25,5,1,5,1,46.5
0,16.7999992371,0.8000000119,47,5,1,7,1,57.9000015259
0,12.8,0.7,110,6,0,0,0,13.8
3,19.2999992371,3.4000000954,152,2,1,15,1,17
0.4,6.4000000954,1,17,6,0,4,0,15.3000001907
0,15,2,111,2,1,0,0,4.0999999046
1.4,20.5,0.400000006,129,3,1,6,1,51.2999992371
0.4,11.6000003815,1.2999999523,91,6,0,3,0,15.6999998093
0,36.7999992371,3.5,18,7,0,17,0,3.7000000477
0.4,11.4,1.7,109,4,1,23,0,27.9
1.6,7.0999999046,1.7999999523,98,4,1,8,1,18.7000007629
0.4,16.6000003815,3.9000000954,164,2,1,15,1,15.3000001907
0.8,13.1,1.2,132,3,1,16,1,21.2
6,15.6999998093,1,176,5,1,19,0,15.6999998093
1.4,16.9,6,17,7,0,16,1,14
0.6,11.8999996185,3.5,17,3,1,19,0,11.6000003815
5.8,17.2,3.9,173,1,1,17,0,17.5
0.4,16.1000003815,3.7000000477,139,2,1,10,0,12.8000001907
0.2,29.6000003815,3,11,1,1,9,0,58.9000015259
0,21.2,1,141,1,1,21,0,25.9
15.4,13.3999996185,4.5,136,1,1,9,0,13.5
11.8,12.6999998093,1.1000000238,70,5,1,1,0,12.6999998093
0,17.8999996185,1.6000000238,178,5,1,20,0,12.6999998093
0.4,17.7000007629,3.2999999523,173,3,1,21,0,17.2999992371
0,18.8,2.1,163,7,0,17,0,19
0,15.3999996185,1.6000000238,173,3,1,14,0,30.2000007629
0,15.8,2.5,167,4,1,23,0,9.7
8.8,19.7999992371,1.3999999762,82,5,1,2,0,15
0,14.1999998093,0.200000003,116,7,0,5,1,4.8000001907
0,12.6,3.6,161,6,0,22,0,6.8
8.8,23.7,1.8,55,5,1,10,0,17.3
0.4,26.2999992371,3.2999999523,1,4,1,9,0,8.1999998093
0.4,20,3.2999999523,173,1,1,12,0,22.3999996185
2.2,18.2,4.7,173,4,1,16,1,25.4
0,23.2,5.1,170,1,1,16,1,17.3
3.2,15,3.8,81,5,1,17,0,22.2
3.2,14.3999996185,3.0999999046,11,5,1,17,0,16.1000003815
1,16.2000007629,3.5999999046,159,7,0,17,0,10.3000001907
6.2,11.1000003815,0.6000000238,65,6,0,2,0,9
7,13.6,4.5,178,4,1,12,0,23.3
3.4,25.1000003815,5.3000001907,3,4,1,6,1,74.1999969482
0,13,1.2999999523,170,6,0,16,1,13.8999996185
0,17.5,1.7999999523,178,6,0,22,0,15.3000001907
0,12,3.2,125,7,0,11,0,13.1
4,35.8,1.6,98,3,1,16,1,27.4
2.8,11.3,3.8,6,2,1,9,0,31.3
0,18.6,2,163,7,0,16,1,26.5
2,13.5,1.3999999762,136,2,1,16,1,13
4,9.1000003815,0.8000000119,26,2,1,4,0,3.9000000954
0,16.8,0.3,122,5,1,2,0,5.8
3.6,19.2999992371,3.5999999046,166,7,0,20,0,5.0999999046
13.4,24.6,4.4,77,7,0,15,1,0
0.2,14,1.8,171,4,1,17,0,17.5
0.6,6.3,1.2,13,3,1,4,0,23.1
0,15.8000001907,0.6999999881,30,1,1,5,1,70.8000030518
4.4,21.3,1.4,127,6,0,2,0,14.2
4.4,13.6000003815,3.7999999523,107,4,1,22,0,7.9000000954
1.4,20.2999992371,5.3000001907,162,4,1,16,1,39.2000007629
0,16.3999996185,2.2999999523,174,3,1,1,0,5.1999998093
1,15.8,2.4,3,4,1,20,0,12.2
6.6,7.8,3.9,11,3,1,4,0,22.9
1.2,16,7.4,71,3,1,11,0,54
17.2,12.8,2.2,11,2,1,9,0,33.1
0.4,17.2999992371,5.1999998093,163,2,1,17,0,24.6000003815
7.4,12.7,2.5,5,7,0,21,0,23.7
0,17.7999992371,4.4000000954,169,7,0,16,1,17.3999996185
2.6,13,4.5,170,2,1,12,0,14.6
2.4,15.8999996185,3.7000000477,156,4,1,15,1,14.5
0.8,18.8999996185,3.5,167,1,1,18,0,10.8999996185
6,14.8000001907,3.7000000477,157,4,1,19,0,11.8999996185
4.6,11.1,1.8,107,6,0,23,0,3.4
0,18.9,1.6,177,7,0,19,0,26.6
2,16.7000007629,0.400000006,113,1,1,4,0,20
0,36.7000007629,3.0999999046,45,2,1,11,0,74.5999984741
0.2,18.7000007629,5.1999998093,3,2,1,14,0,46.7999992371
2,19.1000003815,3,158,4,1,10,0,22.7000007629
1,14.3000001907,1.6000000238,163,1,1,0,0,7.6999998093
0,20.2,4.7,124,5,1,11,0,10.9
28.4,13.5,0.6999999881,50,6,0,2,0,5.0999999046
0.4,17.3999996185,1.3999999762,145,1,1,23,0,14.8999996185
0.4,11.3,6.1,66,1,1,9,0,36.7
0,14.6999998093,2.2999999523,172,5,1,9,0,7.8000001907
0.2,15.8000001907,2.2000000477,29,7,0,17,0,6.5999999046
11,8.3000001907,1.8999999762,66,5,1,6,1,12.3000001907
9,26.2,3.5,12,1,1,10,0,38.1
2.4,13.6000003815,2.5999999046,172,2,1,14,0,16.7000007629
2,13.7,2.2,179,2,1,16,1,21.3
8.8,14.8,3.1,158,5,1,17,0,16.1
0,15.5,2.7999999523,6,1,1,8,1,14.1999998093
12.2,11.6000003815,1.8999999762,128,6,0,15,1,14.5
2.2,20.3999996185,5.5999999046,3,5,1,10,0,67.0999984741
0,10,1.7999999523,4,5,1,1,0,31.1000003815
11.6,14.5,1,121,2,1,20,0,17.2000007629
6.6,11.5,2.2,120,6,0,8,1,16.1
2,12.6,3,83,5,1,17,0,7.5
3.8,20,4.4000000954,165,1,1,13,0,14
32.8,13.3999996185,2.9000000954,94,4,1,11,0,9.8000001907
1.4,19.6,3.4,70,4,1,12,0,15.5
55.6,13.3,2.2,125,1,1,6,1,14
0,21.3999996185,3.9000000954,10,4,1,3,0,27.2999992371
0.2,8.1,2.7,97,6,0,17,0,8.4
36,12.8000001907,1.2999999523,90,4,1,17,0,9.1000003815
0,16.7,0.7,177,3,1,3,0,10.1
1.6,8.3000001907,2.2000000477,22,4,1,0,0,13.6000003815
2.8,14.7,3.3,113,5,1,8,1,11.1
1,16.7000007629,2,151,2,1,10,0,13.3999996185
11.4,12.6000003815,3.2000000477,157,6,0,15,1,12.8000001907
0,22.3,3.4,176,3,1,16,1,23
0,12,2.8,48,6,0,20,0,10.3
0.6,13,0.8999999762,42,4,1,1,0,26.5
1,11.3000001907,0.8000000119,30,5,1,21,0,41.7000007629
0,22.7,3.1,165,2,1,14,0,30.8
0.8,10.1999998093,0.200000003,168,1,1,18,0,29.6000003815
0,18.7999992371,3,158,1,1,14,0,13.8000001907
0,19.2,3.5,122,4,1,13,0,22.9
0,19.7,4.2,173,4,1,19,0,8.6
0,17.1,3.3,56,2,1,20,0,8.2
2.6,13.1,6.2,68,7,0,12,0,5.4
0,24.7999992371,2.9000000954,167,5,1,13,0,29.5
8.8,19.8999996185,0.6000000238,82,5,1,7,1,28.3999996185
0,14.6999998093,1,3,7,0,4,0,11.5
0.8,12.7,1,53,7,0,22,0,9.1
0,19,1.6000000238,22,3,1,5,1,45.4000015259
2.6,16.7999992371,0.6000000238,35,6,0,20,0,21.7999992371
0.8,19,4.4,168,6,0,20,0,16.8
0,19.4,2.7,173,2,1,14,0,7
20.8,15,2.0999999046,168,1,1,18,0,14.6999998093
2.2,30.1,2.8,40,2,1,11,0,17.7
0,26.2000007629,1.1000000238,89,1,1,18,0,18.8999996185
28,9.8999996185,1.2999999523,65,5,1,1,0,5.5
1,18.7000007629,2.5999999046,166,2,1,13,0,21
0,16.4,2.1,173,2,1,11,0,22
0.4,16.6000003815,4.1999998093,168,2,1,19,0,12.8000001907
1.4,10.5,3.4,65,1,1,18,0,9.7
0.6,19.1,3.9,24,7,0,5,1,10.4
0,9.6000003815,1.3999999762,2,3,1,0,0,12.5
6.2,12.6000003815,0.3000000119,69,6,0,11,0,18.2000007629
1.4,14,3.1,47,1,1,0,0,29
0.4,4.8000001907,1.1000000238,7,2,1,8,1,103.4000015259
15.6,16.1,0.8,37,6,0,4,0,12.8
4,20,0.4,80,3,1,6,1,66.9
0.2,13.8000001907,1.2000000477,135,6,0,12,0,18.3999996185
0,7.1999998093,0.8000000119,6,1,1,8,1,100.3000030518
11.8,15.8,2.2,34,3,1,2,0,10.3
0.6,11.6000003815,2,2,2,1,12,0,36.2999992371
0,13.3,0.7,153,5,1,2,0,20.4
0,27.7,1.5,125,6,0,14,0,55.3
20,15.3000001907,4.9000000954,103,2,1,9,0,18
0,16.7,1.4,115,4,1,2,0,15.5
2.2,14.3999996185,5.1999998093,4,1,1,15,1,27.8999996185
0.4,14.7,1,10,6,0,5,1,18.1
2.6,12,2.7000000477,81,1,1,4,0,9.3000001907
4.4,16.8999996185,1.7999999523,142,7,0,23,0,15.6999998093
0,12.5,2.0999999046,140,1,1,4,0,9.3000001907
1,10,3,155,1,1,9,0,19
15.6,18.2,0.9,36,6,0,23,0,15.7
6.4,11.4,2.5,26,5,1,0,0,8.4
11.6,8.6000003815,3,80,6,0,16,1,28.6000003815
28.4,13.6000003815,0.8000000119,84,6,0,7,1,16.3999996185
0,18.2999992371,4.1999998093,5,6,0,13,0,37.5
0.8,15.5,3.2999999523,41,2,1,1,0,2.5
0,18.8,2.7,147,7,0,16,1,16.2
0,14.4,0.9,21,1,1,7,1,76.6
0.4,15.5,2.4000000954,171,1,1,22,0,6.1999998093
0,15.2,2,114,5,1,6,1,18
0,12.6000003815,1.1000000238,29,1,1,10,0,66
0,17.8,5,155,6,0,19,0,18.9
2.6,12.8,2.3,95,2,1,19,0,22.1
5.8,13.3000001907,2.7999999523,98,6,0,7,1,18.6000003815
0,9.5,1.5,101,4,1,5,1,13
31,11.6,0.9,82,2,1,4,0,21.7
0,24.5,4.5,57,3,1,7,1,111.3
0,13.6000003815,0.8000000119,43,3,1,1,0,36.0999984741
4.4,12,2.7,33,3,1,4,0,13
7,10.1999998093,2.5,18,6,0,2,0,0.3000000119
0.4,19.7999992371,3.2000000477,168,3,1,12,0,20.6000003815
17.2,19.6000003815,2.0999999046,150,3,1,3,0,6.1999998093
0.8,29.6,2.9,37,6,0,9,0,38.7
7,11.6,1.5,15,6,0,22,0,3.2
0,8.1000003815,1,48,6,0,7,1,26.1000003815
1.2,14.4,2.7,11,6,0,13,0,5.8
0.2,10.1000003815,1.8999999762,27,6,0,4,0,6.5999999046
0,17.6,0.1,28,5,1,10,0,50.1
0,14.3,0.5,10,6,0,3,0,36.7
1.4,20.1000003815,0.6999999881,63,3,1,8,1,36.0999984741
0,21.1000003815,1.7999999523,154,3,1,12,0,18.2999992371
2.4,19.7999992371,4.9000000954,8,1,1,13,0,45.5
2,24.6000003815,1.1000000238,40,2,1,14,0,40.7999992371
1.4,19.5,5.1999998093,171,6,0,16,1,8.8000001907
0.2,10.9,0.2,94,5,1,9,0,49.3
3.6,10.3999996185,1.2999999523,37,1,1,23,0,6.5
0,17,0.8,50,2,1,1,0,36.2
5.8,16.3,4.5,172,4,1,11,0,19.4
3.8,19.6,4.6,22,3,1,6,1,43.8
0.8,15.7,3,13,5,1,17,0,27.4
0.2,15.3000001907,0,15,1,1,21,0,17.7999992371
2.2,17.7,0.9,4,2,1,5,1,42.1
0.2,14,1.7000000477,112,5,1,20,0,15.5
6.6,9.8000001907,1.8999999762,123,1,1,22,0,11.3999996185
0,12.1000003815,3.7999999523,29,1,1,11,0,26.5
4.6,10.1000003815,0.400000006,38,5,1,20,0,25.2999992371
10.6,17.2000007629,5.6999998093,151,5,1,16,1,16.1000003815
0,16.3,2.1,173,1,1,23,0,11.8
8.2,8.8000001907,3,73,7,0,19,0,6.3000001907
0.2,14.3999996185,0.6999999881,73,1,1,8,1,21.8999996185
2.4,4.2,1.5,25,4,1,5,1,27.3
13.2,15,1.8,110,3,1,9,0,14
0,17.8,4.6,19,3,1,16,1,39
1,17.3,8.1,21,4,1,12,0,59.3
1,11.3000001907,0.6000000238,19,5,1,0,0,43.2999992371
1.4,3.0999999046,1.6000000238,26,7,0,5,1,11.5
20.2,21.2999992371,3.2000000477,167,6,0,17,0,7.5999999046
0.2,32,3.5999999046,39,3,1,16,1,36
43.6,18.7,2.3,9,7,0,9,0,15.4
0,33.1,4.3,14,2,1,12,0,92
0.8,12.9,3.7,117,2,1,10,0,18.2
0,16.4,1,56,1,1,2,0,7.4
0,20.3,3.2,163,6,0,16,1,23.8
0,17.2999992371,2.5999999046,152,5,1,8,1,22.7000007629
0,19.8,1.5,166,5,1,10,0,16.7
13.4,12.7,3.2,85,7,0,23,0,7
0,8.1,2.2,4,3,1,2,0,37
0.2,13.3000001907,1.2000000477,86,7,0,0,0,5.0999999046
13.4,6.9,0.6,9,7,0,8,1,7.6
0,13.7,1.5,17,5,1,16,1,31.9
0,32.5,3.7999999523,166,2,1,16,1,25.5
3.8,11.8999996185,3.2000000477,140,4,1,10,0,12.6000003815
0.4,19.2000007629,2,150,1,1,8,1,6.6999998093
4.4,10.6,2.5,0,7,0,6,1,10.5
0.6,15.3999996185,0.8999999762,43,4,1,23,0,36
0,23.7999992371,5.8000001907,170,3,1,16,1,22
2,27.3999996185,3,150,1,1,13,0,34.4000015259
3.8,11.4,1,159,6,0,20,0,9.8
3.8,11.6999998093,4.1999998093,141,4,1,0,0,10.5
3,11.8999996185,1.1000000238,79,7,0,19,0,14.6000003815
4.8,17.6000003815,4.5,12,5,1,4,0,9.1000003815
1,13.6000003815,0.3000000119,47,5,1,18,0,37.5999984741
0,22.2,4.1,4,3,1,5,1,26.6
0,12,0.6000000238,25,7,0,6,1,17.1000003815
0.6,19.5,1.6000000238,72,7,0,0,0,25.6000003815
1.2,16.5,3.0999999046,5,1,1,11,0,21.6000003815
2,7.1999998093,2.2000000477,61,6,0,2,0,11.1000003815
0.2,23.7000007629,3.4000000954,8,4,1,4,0,36.7000007629
0,13.1000003815,1.3999999762,104,7,0,0,0,17
0,22.2000007629,5.1999998093,174,7,0,15,1,30.7000007629
0.6,18.8999996185,5,170,3,1,19,0,9.1000003815
0,15.6000003815,2.5999999046,178,5,1,10,0,10.1000003815
2.4,12.3999996185,2.4000000954,84,2,1,20,0,14.1999998093
0,20.2999992371,2.7000000477,4,2,1,9,0,60.7000007629
19.6,14.7,0.7,30,1,1,2,0,6.7
0,32.7,3.9,43,3,1,18,0,21.4
0.4,41.5999984741,5.1999998093,25,3,1,14,0,82.8000030518
2.2,11.8,2.3,135,6,0,9,0,12.1
0.4,18.6000003815,1.2000000477,173,2,1,4,0,9.6999998093
0,29.8,4.7,3,3,1,13,0,54.5
0.6,14.5,0.6999999881,8,5,1,1,0,30.6000003815
6,11.1999998093,0.8000000119,58,5,1,0,0,15.1999998093
6,10.1999998093,0.8999999762,10,4,1,4,0,4.5999999046
0,22.7999992371,1.7000000477,33,7,0,9,0,24.2999992371
